outer_target,method,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
switzerland,equal_logit_blend,mcar_50,0,123.0,0.9349593495934959,0.725,0.9669769328271438,0.5759339531082798,0.6184248885255693,0.19704619406954038,0.2112780299753391,0.6829268292682927,0.7141304347826087,0.8,0.975,0.6782608695652174,0.6173913043478261,2.5629248632345556,0.9754749701793443,0.18654943259017356
switzerland,equal_logit_blend,mcar_50,1,123.0,0.9349593495934959,0.7684782608695652,0.978046838882404,0.6033703603671755,0.5694267539383608,0.20980944427622458,0.1935368469271453,0.6422764227642277,0.7505434782608695,0.7659574468085106,0.9863013698630136,0.6260869565217392,0.6260869565217392,2.7934325716190553,1.2462599935270462,0.20767683287407887
switzerland,equal_logit_blend,mcar_50,2,123.0,0.9349593495934959,0.7152173913043478,0.9573064027198734,0.6648274232155739,0.6434514034506087,0.23416044166110603,0.21802548993268506,0.6178861788617886,0.6793478260869565,0.7486631016042781,0.9722222222222222,0.6086956521739131,0.6,2.735168311191918,0.7877867120042091,0.30925689676901574
switzerland,equal_logit_blend,mcar_50,3,123.0,0.9349593495934959,0.6554347826086957,0.9657553820485962,0.6831385077034265,0.6642885318331176,0.24342180731687965,0.23682021654669402,0.5772357723577236,0.5994565217391304,0.717391304347826,0.9565217391304348,0.5739130434782609,0.33043478260869563,2.6906278658017166,0.6006689205150684,0.3053477380188005
switzerland,equal_logit_blend,mcar_50,4,123.0,0.9349593495934959,0.6967391304347826,0.962942638612287,0.6832290384996786,0.6571360106464272,0.24537055499542693,0.2305926446893851,0.5691056910569106,0.5951086956521738,0.7103825136612022,0.9558823529411765,0.5652173913043478,0.4434782608695652,2.7879553444236933,0.8086821270551748,0.2913525382227796
switzerland,equal_logit_blend,mcar_50,5,123.0,0.9349593495934959,0.6739130434782609,0.9677779326808313,0.6512375457619072,0.643364266789986,0.23094994157061507,0.22753311182345204,0.6016260162601627,0.6125,0.7379679144385026,0.9583333333333334,0.6,0.46956521739130436,2.679037813359812,0.7297156858380072,0.2643718184700238
switzerland,equal_logit_blend,mcar_50,6,123.0,0.9349593495934959,0.75,0.9751301580195968,0.6191782764156797,0.5937469676764904,0.21355476519625086,0.2054484977746862,0.6585365853658537,0.6429347826086956,0.7835051546391752,0.9620253164556962,0.6608695652173913,0.4,2.7650590976400116,1.0063907068131057,0.2628476432602599
switzerland,equal_logit_blend,mcar_50,7,123.0,0.9349593495934959,0.6945652173913044,0.9668779613938814,0.6883622221136575,0.6555525709386738,0.24552860784712902,0.23106190167724636,0.6178861788617886,0.621195652173913,0.7513227513227513,0.9594594594594594,0.6173913043478261,0.5217391304347826,2.7361816392599994,0.6787690394325299,0.308353696193623
switzerland,equal_logit_blend,mcar_50,8,123.0,0.9349593495934959,0.6619565217391304,0.9651583688598664,0.6959106468131734,0.6655363027572937,0.25187242963617607,0.23751845768764426,0.5365853658536586,0.5777173913043478,0.6815642458100558,0.953125,0.5304347826086957,0.4260869565217391,2.7103446175933072,0.6460336130205557,0.32507920595118284
switzerland,equal_logit_blend,mcar_50,9,123.0,0.9349593495934959,0.7478260869565218,0.976958483585223,0.6634719678936586,0.5830103906728175,0.2365303868647301,0.20342023857768643,0.5934959349593496,0.6663043478260869,0.7282608695652174,0.9710144927536232,0.5826086956521739,0.4608695652173913,2.967660275526778,1.157266883491521,0.2824265741401373
switzerland,equal_logit_blend,natural,0,123.0,0.9349593495934959,0.7978260869565217,0.9776173469370585,0.5038200606204494,0.5472026344652547,0.16498846127594377,0.18107517524159014,0.7642276422764228,0.7576086956521739,0.8585365853658536,0.9777777777777777,0.7652173913043478,0.7130434782608696,2.5734012445552574,1.1211804384501614,0.13417638123330405
switzerland,selected_best_expert,drop_advanced,0,123.0,0.9349593495934959,0.8271739130434783,0.9821826265773155,0.49446325496385835,0.5227057889324294,0.1605316047851688,0.1686098052206737,0.7317073170731707,0.7983695652173913,0.8341708542713567,0.9880952380952381,0.7217391304347827,0.7391304347826086,2.6017908852777745,1.1614824762824218,0.11921704558179357
switzerland,selected_best_expert,drop_exercise,0,123.0,0.9349593495934959,0.7695652173913043,0.9784734425189671,0.4937019568895658,0.5751740502656266,0.156136192949882,0.19252439535489685,0.8130081300813008,0.7836956521739131,0.8909952606635071,0.9791666666666666,0.8173913043478261,0.48695652173913045,2.4294017440473343,0.8720826114116076,0.20251626180845486
