method,track,outer_target,policy,mask_replicate,mean_observed_fraction,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_50,9,0.3908692933083177,123.0,0.9349593495934959,0.7282608695652174,0.9756644154133365,0.7706318843446172,0.6261349215120723,0.2772654087161092,0.2184833180344523,0.5609756097560976,0.6489130434782608,0.7,0.9692307692307692,0.5478260869565217,0.4608695652173913,2.947438930486815,0.7573698535015544,0.4016534033135724
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,natural,0,0.7523452157598499,123.0,0.9349593495934959,0.7999999999999999,0.9806388269455084,0.5039154619003399,0.5298372714565933,0.16485126024119084,0.17533259554176123,0.7479674796747967,0.7489130434782609,0.8472906403940886,0.9772727272727273,0.7478260869565218,0.7130434782608696,2.5870609916166685,1.022972172658002,0.13719675408491433
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,drop_advanced,0,0.7048155096935584,123.0,0.9349593495934959,0.7630434782608695,0.971989269871902,0.5289081333628912,0.5945812874630896,0.17920200772157086,0.2044383299039071,0.6991869918699187,0.6646739130434782,0.8140703517587939,0.9642857142857143,0.7043478260869566,0.4782608695652174,2.633132181703113,0.9021619953446428,0.13227904714405236
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,drop_exercise,0,0.46028767979987495,123.0,0.9349593495934959,0.7782608695652173,0.9743101748202565,0.49155151777802847,0.5694404863764344,0.15725726828359557,0.19196390005922015,0.7804878048780488,0.7081521739130434,0.8708133971291866,0.9680851063829787,0.7913043478260869,0.6260869565217392,2.455909713120043,1.016401362610765,0.1420052049915584
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,drop_routine,0,0.5703564727954971,123.0,0.9349593495934959,0.7673913043478261,0.9724716854159627,0.5205514525128333,0.5987389617115448,0.17264457937727445,0.20248628783400904,0.7479674796747967,0.6907608695652174,0.848780487804878,0.9666666666666667,0.7565217391304347,0.5304347826086957,2.576610436537493,0.7865175430951097,0.14005013941191136
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,empirical_source,0,0.6841776110068792,123.0,0.9349593495934959,0.7336956521739131,0.9677773758075487,0.5675300259922803,0.646409766474252,0.19480005625342095,0.2257175338572646,0.6829268292682927,0.6559782608695652,0.8020304568527918,0.9634146341463414,0.6869565217391305,0.391304347826087,2.65701442778371,0.8026805679409089,0.16031714906549555
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,empirical_source,1,0.6941838649155723,123.0,0.9349593495934959,0.7576086956521739,0.9707403824326554,0.5352465544589047,0.6021334036751114,0.17976874395590003,0.20669074757009706,0.7073170731707317,0.6690217391304347,0.82,0.9647058823529412,0.7130434782608696,0.4434782608695652,2.650697508221073,0.8767321358098991,0.14511264358928613
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,empirical_source,2,0.6810506566604126,123.0,0.9349593495934959,0.7663043478260869,0.9720892812454967,0.5419072435245231,0.5910272281499999,0.1832118189419964,0.20262288638365467,0.7073170731707317,0.6690217391304347,0.82,0.9647058823529412,0.7130434782608696,0.6347826086956522,2.6548285302152745,0.8938298274936192,0.14743983094827467
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,empirical_source,3,0.6885553470919323,123.0,0.9349593495934959,0.7695652173913043,0.9728634087081511,0.5401524070766703,0.5971618700638769,0.18261458104057354,0.20555148212751093,0.6910569105691057,0.6603260869565217,0.8080808080808081,0.963855421686747,0.6956521739130435,0.43478260869565216,2.6831296821933415,0.9141712619997648,0.14433948668419205
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,empirical_source,4,0.6810506566604126,123.0,0.9349593495934959,0.7663043478260869,0.9719542240575857,0.5414119049207731,0.6008542243261399,0.1832487174703592,0.20647829325559236,0.7154471544715447,0.6733695652173913,0.8258706467661692,0.9651162790697675,0.7217391304347827,0.40869565217391307,2.6774531809528956,0.9063452715819561,0.14400142879541283
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,empirical_source,5,0.6622889305816135,123.0,0.9349593495934959,0.7358695652173912,0.9676010796698618,0.5565877284818394,0.6407927105987316,0.1870850950529422,0.22016054459152798,0.6991869918699187,0.6646739130434782,0.8140703517587939,0.9642857142857143,0.7043478260869566,0.46956521739130436,2.5740011861053262,0.7132625225425144,0.17112447716363288
