revision,mechanism,batch_size,nominal_latent_prevalence,acceptance_rate,realized_latent_prevalence,episodes,affected_probability,expected_affected_rows,probability_fewer_than_five_affected
v1_learned_mean,conditional_translation,64,0.65,0.4,0.6453125,10,0.65,41.6,5.1788012746573165e-23
v1_learned_mean,conditional_translation,64,0.7,0.2,0.7046875,10,0.7,44.8,6.652492221769527e-27
v1_learned_mean,conditional_translation,64,0.75,0.2,0.7609375,10,0.75,48.0,1.546031358487146e-31
v1_learned_mean,conditional_translation,64,0.8,0.1,0.7890625,10,0.8,51.2,3.050266254695374e-37
v1_learned_mean,conditional_translation,64,0.85,0.0,0.853125,10,0.85,54.4,1.233733741727586e-44
v1_learned_mean,conditional_translation,64,0.9,0.0,0.896875,10,0.9,57.6,4.199238864999933e-55
v1_learned_mean,conditional_translation,64,0.95,0.0,0.95,10,0.95,60.8,4.504282042023015e-73
v1_learned_mean,conditional_translation,128,0.05,1.0,0.05,10,0.05,6.4,0.22793974409833231
v1_learned_mean,conditional_translation,128,0.1,0.9,0.10625,20,0.1,12.8,0.0030718357305998976
v1_learned_mean,conditional_translation,128,0.15,1.0,0.14140625,10,0.15,19.2,1.1547557243481725e-05
v1_learned_mean,conditional_translation,128,0.2,0.9,0.20234375,10,0.2,25.6,1.8734422633692198e-08
v1_learned_mean,conditional_translation,128,0.25,0.6,0.25390625,10,0.25,32.0,1.4794132535259513e-11
v1_learned_mean,conditional_translation,128,0.3,0.5,0.309375,10,0.3,38.4,5.777425644676683e-15
v1_learned_mean,conditional_translation,128,0.35,0.8,0.3078125,10,0.35,44.8,1.0759469428490078e-18
v1_learned_mean,conditional_translation,128,0.4,0.3,0.40546875,10,0.4,51.2,8.874953317822086e-23
v1_learned_mean,conditional_translation,128,0.45,0.1,0.44609375,10,0.45,57.6,2.904378479800144e-27
v1_learned_mean,conditional_translation,128,0.5,0.1,0.51171875,10,0.5,64.0,3.237791337733303e-32
v1_learned_mean,conditional_translation,128,0.55,0.0,0.54609375,10,0.55,70.4,9.984547486384717e-38
v1_learned_mean,conditional_translation,128,0.6,0.0,0.6,10,0.6,76.8,6.389103529880944e-44
v1_learned_mean,conditional_translation,128,0.65,0.0,0.6390625,10,0.65,83.2,5.645319520937885e-51
v1_learned_mean,conditional_translation,128,0.7,0.0,0.70546875,10,0.7,89.6,3.779955391387509e-59
v1_learned_mean,conditional_translation,128,0.75,0.0,0.7390625,10,0.75,96.0,7.542818294002512e-69
v1_learned_mean,conditional_translation,128,0.8,0.0,0.7921875,10,0.8,102.4,9.367928048566555e-81
v1_learned_mean,conditional_translation,128,0.85,0.0,0.84765625,10,0.85,108.8,3.832928303315164e-96
v1_learned_mean,conditional_translation,128,0.9,0.0,0.89375,10,0.9,115.2,7.024227062499768e-118
v1_learned_mean,conditional_translation,128,0.95,0.0,0.95625,10,0.95,121.6,4.0925096273022975e-155
v1_learned_mean,conditional_translation,256,0.05,1.0,0.046875,10,0.05,12.8,0.0036659736412998673
v1_learned_mean,conditional_translation,256,0.1,0.95,0.1005859375,20,0.1,25.6,5.964036474537538e-08
v1_learned_mean,conditional_translation,256,0.15,0.9,0.14453125,10,0.15,38.4,1.5856693586192982e-13
v1_learned_mean,conditional_translation,256,0.2,0.6,0.19453125,10,0.2,51.2,1.1303399068137928e-19
v1_learned_mean,conditional_translation,256,0.25,0.6,0.2515625,10,0.25,64.0,2.3472521173263672e-26
v1_learned_mean,conditional_translation,256,0.3,0.2,0.30078125,10,0.3,76.8,1.354817114153013e-33
v1_learned_mean,conditional_translation,256,0.35,0.4,0.334765625,10,0.35,89.6,1.931100727751128e-41
v1_learned_mean,conditional_translation,256,0.4,0.1,0.39296875,10,0.4,102.4,5.691644450106431e-50
v1_learned_mean,conditional_translation,256,0.45,0.0,0.430859375,10,0.45,115.2,2.723974499395353e-59
v1_learned_mean,conditional_translation,256,0.5,0.0,0.50078125,10,0.5,128.0,1.533689029792275e-69
v1_learned_mean,conditional_translation,256,0.55,0.0,0.53984375,10,0.55,140.8,6.594216140054246e-81
v1_learned_mean,conditional_translation,256,0.6,0.0,0.61875,10,0.6,153.6,1.199044770452736e-93
v1_learned_mean,conditional_translation,256,0.65,0.0,0.618359375,10,0.65,166.4,4.008932610994794e-108
v1_learned_mean,conditional_translation,256,0.7,0.0,0.694921875,10,0.7,179.2,7.251354181879847e-125
v1_learned_mean,conditional_translation,256,0.75,0.0,0.755078125,10,0.75,192.0,1.0615540947013653e-144
v1_learned_mean,conditional_translation,256,0.8,0.0,0.791015625,10,0.8,204.8,5.201879062271929e-169
v1_learned_mean,conditional_translation,256,0.85,0.0,0.848828125,10,0.85,217.6,2.1697448404779207e-200
v1_learned_mean,conditional_translation,256,0.9,0.0,0.90390625,10,0.9,230.4,1.1488317632649232e-244
v1_learned_mean,conditional_translation,256,0.95,0.0,0.94921875,10,0.95,243.2,0.0
v1_learned_mean,conditional_translation,512,0.05,1.0,0.05625,10,0.05,25.6,9.963612455682508e-08
v1_learned_mean,conditional_translation,512,0.1,1.0,0.0986328125,20,0.1,51.2,1.7306587013811955e-18
v1_learned_mean,conditional_translation,512,0.15,0.7,0.1556640625,10,0.15,76.8,2.0916985156909655e-30
v1_learned_mean,conditional_translation,512,0.2,0.5,0.198828125,10,0.2,102.4,2.7501646713827288e-43
v1_learned_mean,conditional_translation,512,0.25,0.4,0.253515625,10,0.25,128.0,3.845456713835231e-57
v1_learned_mean,conditional_translation,512,0.3,0.0,0.295703125,10,0.3,153.6,4.76493067057867e-72
v1_learned_mean,conditional_translation,512,0.35,0.0,0.342578125,10,0.35,179.2,3.9299420577095705e-88
v1_learned_mean,conditional_translation,512,0.4,0.0,0.396875,10,0.4,204.8,1.4654705323150793e-105
v1_learned_mean,conditional_translation,512,0.45,0.0,0.4458984375,10,0.45,230.4,1.4895160509509605e-124
v1_learned_mean,conditional_translation,512,0.5,0.0,0.49375,10,0.5,256.0,2.127303123600318e-145
v1_learned_mean,conditional_translation,512,0.55,0.0,0.55,10,0.55,281.6,1.7699955832766715e-168
v1_learned_mean,conditional_translation,512,0.6,0.0,0.608984375,10,0.6,307.2,2.58896641114876e-194
v1_learned_mean,conditional_translation,512,0.65,0.0,0.6544921875,10,0.65,332.8,1.2354557457242465e-223
v1_learned_mean,conditional_translation,512,0.7,0.0,0.692578125,10,0.7,358.4,1.6263763129415455e-257
v1_learned_mean,conditional_translation,512,0.75,0.0,0.7515625,10,0.75,384.0,1.2784254808794265e-297
v1_learned_mean,conditional_translation,512,0.8,0.0,0.8083984375,10,0.8,409.6,0.0
v1_learned_mean,conditional_translation,512,0.85,0.0,0.8505859375,10,0.85,435.2,0.0
v1_learned_mean,conditional_translation,512,0.9,0.0,0.8955078125,10,0.9,460.8,0.0
