method,outer_target,policy,mask_replicate,class_0_n,class_0_log_loss,class_1_n,class_1_log_loss,balanced_log_loss
classical:catboost:site_class_balanced,cleveland,mcar_50,9,164,1.0448483777866155,139,0.33995695844861124,0.6924026681176134
classical:catboost:site_class_balanced,cleveland,natural,0,164,0.5960396251454928,139,0.40436626816753973,0.5002029466565163
classical:catboost:site_class_balanced:source_oof_platt,cleveland,drop_advanced,0,164,0.45704256448005803,139,0.528045321197519,0.49254394283878855
classical:catboost:site_class_balanced:source_oof_platt,cleveland,drop_exercise,0,164,0.5288199604073186,139,0.6787226752020168,0.6037713178046678
classical:catboost:site_class_balanced:source_oof_platt,cleveland,drop_routine,0,164,0.922827359482584,139,0.28525453198366696,0.6040409457331255
classical:catboost:site_class_balanced:source_oof_platt,cleveland,empirical_source,0,164,0.47282214056553623,139,0.5622420884095422,0.5175321144875392
classical:catboost:site_class_balanced:source_oof_platt,cleveland,empirical_source,1,164,0.4823996045220814,139,0.5518864966707423,0.5171430505964119
classical:catboost:site_class_balanced:source_oof_platt,cleveland,empirical_source,2,164,0.49147097583610305,139,0.5380629801571594,0.5147669779966312
classical:catboost:site_class_balanced:source_oof_platt,cleveland,empirical_source,3,164,0.5098060189190536,139,0.5503882099266868,0.5300971144228702
classical:catboost:site_class_balanced:source_oof_platt,cleveland,empirical_source,4,164,0.4789455596829909,139,0.5510963797096279,0.5150209696963094
classical:catboost:site_class_balanced:source_oof_platt,cleveland,empirical_source,5,164,0.5035801578103132,139,0.5760898820185935,0.5398350199144533
classical:catboost:site_class_balanced:source_oof_platt,cleveland,empirical_source,6,164,0.48731748548849824,139,0.5624666673643439,0.5248920764264211
classical:catboost:site_class_balanced:source_oof_platt,cleveland,empirical_source,7,164,0.508713444602439,139,0.5407261376223315,0.5247197911123852
classical:catboost:site_class_balanced:source_oof_platt,cleveland,empirical_source,8,164,0.5143806729508431,139,0.5442956492663694,0.5293381611086063
classical:catboost:site_class_balanced:source_oof_platt,cleveland,empirical_source,9,164,0.4927194329581073,139,0.5508831200204005,0.5218012764892539
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mar_age_sex_30,0,164,0.5865112518965694,139,0.4884937645047436,0.5375025082006565
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mar_age_sex_30,1,164,0.6242439185660579,139,0.4876467282645383,0.5559453234152981
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mar_age_sex_30,2,164,0.6419447734808856,139,0.4815074437496335,0.5617261086152596
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mar_age_sex_30,3,164,0.6188470311427188,139,0.48749296940865294,0.5531700002756859
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mar_age_sex_30,4,164,0.6106786987021274,139,0.4669058574886465,0.538792278095387
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mar_age_sex_30,5,164,0.6188794116337816,139,0.49142373345643203,0.5551515725451068
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mar_age_sex_30,6,164,0.6233347875100624,139,0.5019959889503212,0.5626653882301917
classical:catboost:site_class_balanced:source_oof_platt,cleveland,mar_age_sex_30,7,164,0.6314719387799173,139,0.49789214797639747,0.5646820433781574
