outer_target,experiment,variant,epochs,config_sha256,view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.95,0.5598377810568873,0.0038008161546936,0.005,False,0.05,128.0,4.166118268352623,mar_age_sex_30,3.0,composite_multiview_v3,False,True,True,0.1551155115511551,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.45,0.2033395683028277,0.0026631089381196,0.005,False,0.05,384.0,,mar_age_sex_30,3.0,composite_multiview_v3,False,True,True,0.1551155115511551,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.45,0.002737227812718,0.0017626869580801,0.01,False,0.05,128.0,1.0054933780169524,mar_age_sex_30,4.0,composite_multiview_v3,False,True,True,0.1914191419141914,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.3,0.0194310925768051,0.0044902174288797,0.005,False,0.05,128.0,2.2128682345625577,mar_age_sex_30,4.0,composite_multiview_v3,False,True,True,0.1914191419141914,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.8,0.456469113746791,0.0037304553150621,0.005,False,0.05,128.0,4.176385626808873,mar_age_sex_30,4.0,composite_multiview_v3,False,True,True,0.1914191419141914,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.45,0.1626359297853621,0.0025652015307764,0.005,False,0.05,384.0,,mar_age_sex_30,4.0,composite_multiview_v3,False,True,True,0.1914191419141914,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.4,0.0050293445604877,0.003138898904164,0.01,False,0.05,128.0,0.9904006045854254,mar_age_sex_30,5.0,composite_multiview_v3,False,True,True,0.1584158415841584,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.45,0.0173078160796661,0.0033362212363426,0.005,False,0.05,128.0,2.2128682345625577,mar_age_sex_30,5.0,composite_multiview_v3,False,True,True,0.1584158415841584,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.95,0.5262856856585363,0.0045186081197215,0.005,False,0.05,128.0,4.178588250308443,mar_age_sex_30,5.0,composite_multiview_v3,False,True,True,0.1584158415841584,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.5,0.1946757091095252,0.0025417005785796,0.005,False,0.05,384.0,,mar_age_sex_30,5.0,composite_multiview_v3,False,True,True,0.1584158415841584,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.4,0.002179554189264,0.002359370673548,0.065,True,0.05,128.0,0.9953403409709948,mar_age_sex_30,6.0,composite_multiview_v3,False,True,True,0.2145214521452145,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.35,0.0190262498934058,0.0042704911128529,0.005,False,0.05,128.0,2.2128682345625577,mar_age_sex_30,6.0,composite_multiview_v3,False,True,True,0.2145214521452145,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.95,0.4247338826896651,0.0039894342770227,0.005,False,0.05,128.0,4.145300865501125,mar_age_sex_30,6.0,composite_multiview_v3,False,True,True,0.2145214521452145,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.45,0.1553987603526958,0.0026208403377638,0.005,False,0.05,384.0,,mar_age_sex_30,6.0,composite_multiview_v3,False,True,True,0.2145214521452145,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.4,0.0036918536268854,0.0031844992426956,0.04,False,0.05,128.0,0.9896625047703936,mar_age_sex_30,7.0,composite_multiview_v3,False,True,True,0.1452145214521452,0.1538461538461538,0.2307692307692307
